Pclass,Sex,Age,Fare,Embarked
1,1,45.5,28.5,2
2,1,23.0,13.0,2
3,1,32.0,7.925,2
3,1,26.0,7.8542,2
3,0,6.0,31.275,2
1,1,24.0,247.5208,0
1,1,45.0,26.55,2
2,1,29.0,27.7208,0
3,1,28.0,7.8958,2
1,1,28.0,35.5,2
2,0,42.0,13.0,2
3,1,36.0,24.15,2
2,1,33.0,12.275,2
3,1,17.0,7.0542,2
3,1,29.0,9.5,2
2,0,50.0,26.0,2
1,0,35.0,90.0,2
1,0,38.0,227.525,0
2,1,34.0,13.0,2
1,0,17.0,57.0,2
3,0,11.0,31.275,2
3,1,61.0,6.2375,2
3,0,30.0,8.6625,2
2,0,7.0,26.25,2
3,0,63.0,9.5875,2
3,1,20.0,7.2292,0
3,0,28.0,22.3583,0
3,1,29.0,9.4833,2
1,1,36.0,120.0,2
3,1,28.0,14.4583,0
3,1,50.0,8.05,2
1,1,27.0,211.5,0
3,1,30.0,7.25,2
1,0,33.0,90.0,1
3,1,28.0,7.725,1
3,0,28.0,25.4667,2
3,1,2.0,21.075,2
2,0,25.0,30.0,2
1,1,51.0,61.3792,0
2,0,25.0,26.0,2
3,1,28.0,7.25,2
3,1,28.0,7.8958,2
2,0,24.0,13.0,2
3,1,18.0,20.2125,2
1,1,28.0,30.5,2
3,1,25.0,7.05,2
2,0,24.0,14.5,2
3,1,22.0,7.5208,2
1,1,0.92,151.55,2
2,0,24.0,26.0,2
3,0,26.0,7.925,2
2,1,34.0,21.0,2
1,0,21.0,262.375,0
3,1,28.0,7.75,1
3,0,28.0,7.2292,0
3,1,28.0,8.6625,2
3,0,22.0,7.775,2
1,0,62.0,80.0,2
3,0,18.0,9.8417,2
1,0,42.0,227.525,0
2,1,57.0,12.35,1
3,1,19.0,0.0,2
2,0,42.0,26.0,2
3,1,28.0,7.225,0
3,0,20.0,8.6625,2
3,1,34.5,6.4375,0
3,1,28.0,9.5,2
3,1,28.0,8.05,2
3,1,23.0,7.8958,2
3,1,22.0,7.25,2
1,1,52.0,30.5,2
3,0,30.0,12.475,2
2,1,36.5,26.0,2
3,1,28.0,7.75,1
3,1,22.0,7.2292,0
1,1,50.0,133.65,2
3,1,27.0,6.975,2
3,1,22.0,8.05,2
1,0,51.0,77.9583,2
2,1,36.0,10.5,2
2,0,29.0,26.0,2
1,0,22.0,151.55,2
1,1,50.0,106.425,0
2,0,40.0,13.0,2
3,1,27.0,8.6625,2
1,1,28.0,0.0,2
1,1,65.0,26.55,2
3,1,17.0,8.6625,2
1,1,28.0,26.55,2
1,1,4.0,81.8583,2
3,1,28.0,7.8958,2
3,0,1.0,11.1333,2
2,1,36.0,27.75,2
2,1,43.0,26.25,2
1,1,38.0,153.4625,2
2,0,31.0,26.25,2
3,1,29.0,8.05,2
3,1,18.0,8.3,2
2,1,28.0,15.05,0
1,0,39.0,110.8833,0
2,1,39.0,13.0,2
3,1,26.0,8.6625,2
3,1,20.0,7.05,2
1,0,28.0,133.65,2
3,1,49.0,0.0,2
2,1,23.0,15.0458,0
3,1,1.0,39.6875,2
3,0,28.0,7.8792,1
3,1,28.0,23.45,2
2,1,3.0,26.0,2
3,1,4.0,11.1333,2
3,1,19.0,7.65,2
3,1,40.5,7.75,1
3,0,1.0,15.7417,0
3,0,28.0,15.2458,0
3,1,21.0,7.925,2
1,1,54.0,51.8625,2
3,1,28.0,15.5,1
2,1,25.0,41.5792,0
3,1,26.0,14.4542,0
3,0,22.0,10.5167,2
3,0,31.0,20.525,2
1,1,49.0,89.1042,0
2,1,19.0,36.75,2
2,1,24.0,10.5,2
3,1,16.0,8.05,2
1,1,25.0,55.4417,0
3,1,39.0,24.15,2
3,0,47.0,14.5,2
1,1,60.0,26.55,2
2,1,24.0,13.0,2
1,1,28.0,50.0,2
2,0,27.0,21.0,2
2,1,28.0,13.8625,0
3,1,38.0,7.8958,2
3,1,44.0,8.05,2
2,0,21.0,10.5,2
3,0,24.0,16.7,2
2,0,45.0,13.5,2
2,1,8.0,36.75,2
3,0,8.0,21.075,2
1,1,28.0,35.0,2
3,1,32.0,8.05,2
1,1,50.0,55.9,2
3,1,21.0,7.8,2
2,0,50.0,10.5,2
3,0,23.0,7.925,2
3,1,32.0,7.8542,2
3,0,28.0,7.75,1
3,0,21.0,34.375,2
3,1,28.0,7.75,1
3,1,25.0,7.225,0
3,1,15.0,7.2292,0
3,0,31.0,18.0,2
2,1,25.0,13.0,2
2,1,54.0,26.0,2
1,1,28.0,47.1,2
1,0,38.0,80.0,2
2,0,41.0,19.5,2
3,1,33.0,8.6625,0
2,1,52.0,13.5,2
3,1,16.0,20.25,2
3,1,20.0,8.05,2
3,1,9.0,31.3875,2
3,1,28.0,8.1125,2
3,1,28.0,7.8292,1
3,1,28.0,7.8958,2
1,0,54.0,59.4,0
3,1,26.0,7.8958,2
1,1,60.0,79.2,0
3,1,28.0,56.4958,2
1,0,44.0,57.9792,0
3,1,20.0,7.925,2
3,1,28.0,25.4667,2
2,1,16.0,10.5,2
3,0,43.0,46.9,2
3,1,17.0,8.6625,2
1,1,37.0,52.5542,2
2,1,62.0,10.5,2
3,1,8.0,29.125,1
3,1,32.0,56.4958,2
3,0,20.0,9.825,2
2,0,28.0,13.0,2
3,0,21.0,7.75,1
3,1,37.0,7.925,2
3,0,17.0,14.4583,0
3,0,28.0,7.75,1
1,1,46.0,61.175,2
3,1,28.0,15.1,2
3,1,24.0,8.05,2
1,1,29.0,66.6,2
1,0,56.0,83.1583,0
2,1,31.0,37.0042,0
3,1,28.0,7.75,1
2,1,32.0,26.0,2
3,1,33.0,20.525,2
3,1,59.0,7.25,2
1,0,58.0,26.55,2
3,0,28.0,16.1,2
2,0,3.0,41.5792,0
3,1,28.0,7.8958,0
1,0,16.0,57.9792,0
3,0,45.0,27.9,2
1,0,43.0,211.3375,2
1,0,30.0,106.425,0
3,1,28.5,16.1,2
3,1,24.0,7.7958,2
2,1,30.0,13.0,2
1,1,36.0,40.125,0
3,1,25.0,7.05,2
3,0,28.0,7.75,1
1,0,50.0,28.7125,0
3,0,0.75,19.2583,0
1,0,24.0,49.5042,0
2,0,24.0,65.0,2
1,0,35.0,52.0,2
1,0,30.0,86.5,2
2,1,23.0,13.0,2
3,1,28.0,7.8958,2
2,1,27.0,26.0,2
2,0,55.0,16.0,2
1,0,35.0,53.1,2
3,1,28.0,6.8583,1
1,0,28.0,79.2,0
3,1,28.0,19.9667,2
2,0,23.0,13.7917,0
3,0,28.0,7.7333,1
1,0,23.0,113.275,0
3,1,51.0,8.05,2
2,0,33.0,26.0,2
3,0,29.0,21.075,2
3,1,28.0,7.8958,0
3,1,28.0,69.55,2
2,0,2.0,26.0,2
2,0,14.0,30.0708,0
2,1,54.0,26.0,2
3,0,15.0,8.0292,1
1,0,22.0,55.0,2
2,1,27.0,13.0,2
3,1,28.0,7.8958,2
1,1,28.0,39.6,0
2,0,28.0,24.0,0
3,1,39.0,7.925,2
2,1,2.0,26.0,2
3,1,24.0,16.1,2
3,1,32.0,7.8958,2
3,1,45.5,7.225,0
2,0,8.0,26.25,2
3,1,26.0,20.575,2
1,0,29.0,211.3375,2
2,0,45.0,26.25,2
3,0,36.0,17.4,2
1,1,28.0,26.0,2
3,0,4.0,22.025,2
2,1,16.0,26.0,2
1,1,58.0,29.7,0
3,1,40.5,14.5,2
3,1,25.0,7.65,2
3,1,28.0,7.8958,2
3,1,51.0,7.0542,2
2,1,28.0,0.0,2
3,0,17.0,7.925,2
3,1,28.0,6.95,1
3,1,40.0,15.5,1
3,1,25.0,0.0,2
